년월,시도명,읍면동명,업종명,이용금액,총 유동인구,데이터기준일자
2018-01,서귀포시,남원읍,건강보조식품 소매업,789000,15559582.61,2020-12-15
2018-01,제주시,오라동,기타음식료품위주종합소매업,1087010,19417674.89,2020-12-15
2018-01,제주시,오라동,기타 주점업,8990000,19417674.89,2020-12-15
2018-01,제주시,오라동,기타 외국식 음식점업,2536000,19417674.89,2020-12-15
2018-01,제주시,오라동,그외 기타 종합 소매업,137235210,19417674.89,2020-12-15
2018-01,제주시,오라동,그외 기타 스포츠시설 운영업,187000,19417674.89,2020-12-15
2018-01,제주시,오라동,관광 민예품 및 선물용품 소매업,46125650,19417674.89,2020-12-15
2018-01,제주시,오라동,비알콜 음료점업,54389690,19417674.89,2020-12-15
2018-01,제주시,오라동,과실 및 채소 소매업,23816400,19417674.89,2020-12-15
2018-01,제주시,연동,화장품 및 방향제 소매업,188102160,55595923.86,2020-12-15
2018-01,제주시,연동,호텔업,1229481564,55595923.86,2020-12-15
2018-01,제주시,연동,한식 음식점업,4197577626,55595923.86,2020-12-15
2018-01,제주시,연동,"피자, 햄버거, 샌드위치 및 유사 음식점업",62062440,55595923.86,2020-12-15
2018-01,제주시,연동,체인화 편의점,802149280,55595923.86,2020-12-15
2018-01,제주시,연동,차량용 주유소 운영업,601656387,55595923.86,2020-12-15
2018-01,제주시,오라동,골프장 운영업,205065672,19417674.89,2020-12-15
2018-01,제주시,연동,차량용 가스 충전업,6653500,55595923.86,2020-12-15
2018-01,제주시,오라동,빵 및 과자류 소매업,26984220,19417674.89,2020-12-15
2018-01,제주시,오라동,수산물 소매업,4644360,19417674.89,2020-12-15
2018-01,제주시,오라동,한식 음식점업,888857339,19417674.89,2020-12-15
2018-01,제주시,오라동,체인화 편의점,99487260,19417674.89,2020-12-15
2018-01,제주시,오라동,차량용 주유소 운영업,668503050,19417674.89,2020-12-15
2018-01,제주시,오라동,차량용 가스 충전업,25950850,19417674.89,2020-12-15
2018-01,제주시,오라동,중식 음식점업,12507000,19417674.89,2020-12-15
2018-01,제주시,오라동,자동차 임대업,41687550,19417674.89,2020-12-15
2018-01,제주시,오라동,서양식 음식점업,20554920,19417674.89,2020-12-15
2018-01,제주시,오라동,일식 음식점업,23182000,19417674.89,2020-12-15
2018-01,제주시,오라동,육류 소매업,60773996,19417674.89,2020-12-15
2018-01,제주시,오라동,욕탕업,864000,19417674.89,2020-12-15
2018-01,제주시,오라동,여행사업,29138564,19417674.89,2020-12-15
2018-01,제주시,오라동,여관업,78629000,19417674.89,2020-12-15
2018-01,제주시,오라동,스포츠 및 레크레이션 용품 임대업,118655200,19417674.89,2020-12-15
2018-01,제주시,오라동,슈퍼마켓,153112202,19417674.89,2020-12-15
2018-01,제주시,오라동,일반유흥 주점업,4740000,19417674.89,2020-12-15
2018-01,제주시,연동,중식 음식점업,196660620,55595923.86,2020-12-15
2018-01,제주시,연동,정기 항공 운송업,5849642627,55595923.86,2020-12-15
2018-01,제주시,연동,전시 및 행사 대행업,26800000,55595923.86,2020-12-15
2018-01,제주시,연동,기타 갬블링 및 베팅업,73980000,55595923.86,2020-12-15
2018-01,제주시,연동,그외 기타 종합 소매업,8020000,55595923.86,2020-12-15
2018-01,제주시,연동,관광 민예품 및 선물용품 소매업,66521460,55595923.86,2020-12-15
2018-01,제주시,연동,과실 및 채소 소매업,106473740,55595923.86,2020-12-15
2018-01,제주시,연동,건강보조식품 소매업,125651670,55595923.86,2020-12-15
2018-01,제주시,애월읍,휴양콘도 운영업,7578008,40822918.85,2020-12-15
2018-01,제주시,연동,기타 대형 종합 소매업,263811384,55595923.86,2020-12-15
2018-01,제주시,애월읍,화장품 및 방향제 소매업,12663690,40822918.85,2020-12-15
2018-01,제주시,애월읍,한식 음식점업,1227267757,40822918.85,2020-12-15
2018-01,제주시,애월읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",4380900,40822918.85,2020-12-15
2018-01,제주시,애월읍,체인화 편의점,357797250,40822918.85,2020-12-15
