날짜,관광지명,관광객수
2009.01,(주)제주미니미니랜드,234
2009.01,국립제주박물관,513
2009.01,도립미술관,0
2009.01,만장굴관광지,1648
2009.01,목석원,2119
2009.01,민속자연사박물관,5358
2009.01,비자림,2
2009.01,산굼부리,987
2009.01,삼성혈,5117
2009.01,삼양선사유적지,1
2009.01,생각하는 정원,532
2009.01,절물자연휴양림,28
2009.01,제주도립 김창열미술관,0
2009.01,제주돌문화공원,107
2009.01,제주러브랜드,5660
2009.01,제주목관아지,185
2009.01,제주별빛누리공원,0
2009.01,제주항일기념관,13
2009.01,한라산국립공원,0
2009.01,한림공원,1433
2009.01,항몽 유적지,42
2009.01,해녀 박물관,409
2009.01,감귤박물관,13
2009.01,기당미술관,0
2009.01,마라해양도립공원,0
2009.01,박물관은살아있다,0
2009.01,산방산,2048
2009.01,서귀포도립해양공원,0
2009.01,서귀포자연휴양림,0
2009.01,서복전시관,900
2009.01,성산일출봉,18371
2009.01,소리섬박물관,0
2009.01,소인국테마파크,0
2009.01,신영영화박물관,0
2009.01,아프리카박물관,0
2009.01,여미지식물원,0
2009.01,이중섭미술관,58
2009.01,익스트림 아일랜드,0
2009.01,일출랜드,584
2009.01,정방폭포,4921
2009.01,제주민속촌박물관,3643
2009.01,제주조각공원,6
2009.01,제주추사관,0
2009.01,중문주상절리대,7256
2009.01,천제연폭포,8217
2009.01,천지연폭포,13806
2009.01,카멜리아힐,0
2009.01,테디베어뮤지엄,8058
2009.01,퍼시픽랜드,0
2009.01,아쿠아플라넷,0
2009.01,화락원,0
2009.02,(주)제주미니미니랜드,222
2009.02,국립제주박물관,155
2009.02,도립미술관,0
2009.02,만장굴관광지,2301
2009.02,목석원,1735
2009.02,민속자연사박물관,4967
2009.02,비자림,0
2009.02,산굼부리,1312
2009.02,삼성혈,6986
2009.02,삼양선사유적지,0
2009.02,생각하는 정원,273
2009.02,절물자연휴양림,55
2009.02,제주도립 김창열미술관,0
2009.02,제주돌문화공원,198
2009.02,제주러브랜드,6114
2009.02,제주목관아지,267
2009.02,제주별빛누리공원,0
2009.02,제주항일기념관,14
2009.02,한라산국립공원,0
2009.02,한림공원,1511
2009.02,항몽 유적지,22
2009.02,해녀 박물관,467
2009.02,감귤박물관,53
2009.02,기당미술관,8
2009.02,마라해양도립공원,0
2009.02,박물관은살아있다,0
2009.02,산방산,3344
2009.02,서귀포도립해양공원,0
2009.02,서귀포자연휴양림,0
2009.02,서복전시관,719
2009.02,성산일출봉,13125
2009.02,소리섬박물관,0
2009.02,소인국테마파크,0
2009.02,신영영화박물관,0
2009.02,아프리카박물관,0
2009.02,여미지식물원,0
2009.02,이중섭미술관,57
2009.02,익스트림 아일랜드,0
2009.02,일출랜드,0
2009.02,정방폭포,3068
2009.02,제주민속촌박물관,3590
2009.02,제주조각공원,15
2009.02,제주추사관,0
2009.02,중문주상절리대,4970
2009.02,천제연폭포,7694
2009.02,천지연폭포,7438
2009.02,카멜리아힐,0
2009.02,테디베어뮤지엄,4953
2009.02,퍼시픽랜드,0
2009.02,아쿠아플라넷,0
2009.02,화락원,0
2009.03,(주)제주미니미니랜드,506
2009.03,국립제주박물관,183
2009.03,도립미술관,0
2009.03,만장굴관광지,6329
2009.03,목석원,2352
2009.03,민속자연사박물관,6630
2009.03,비자림,0
2009.03,산굼부리,2021
2009.03,삼성혈,8744
2009.03,삼양선사유적지,3
2009.03,생각하는 정원,925
2009.03,절물자연휴양림,134
2009.03,제주도립 김창열미술관,0
2009.03,제주돌문화공원,66
2009.03,제주러브랜드,11791
2009.03,제주목관아지,722
2009.03,제주별빛누리공원,0
2009.03,제주항일기념관,9
2009.03,한라산국립공원,0
2009.03,한림공원,2194
2009.03,항몽 유적지,22
2009.03,해녀 박물관,891
2009.03,감귤박물관,32
2009.03,기당미술관,2
2009.03,마라해양도립공원,0
2009.03,박물관은살아있다,0
2009.03,산방산,3954
2009.03,서귀포도립해양공원,0
2009.03,서귀포자연휴양림,0
2009.03,서복전시관,88
2009.03,성산일출봉,18850
2009.03,소리섬박물관,0
2009.03,소인국테마파크,0
2009.03,신영영화박물관,0
2009.03,아프리카박물관,0
2009.03,여미지식물원,0
2009.03,이중섭미술관,39
2009.03,익스트림 아일랜드,0
2009.03,일출랜드,500
2009.03,정방폭포,4735
2009.03,제주민속촌박물관,4054
2009.03,제주조각공원,19
2009.03,제주추사관,0
2009.03,중문주상절리대,5369
2009.03,천제연폭포,9119
2009.03,천지연폭포,10818
2009.03,카멜리아힐,0
2009.03,테디베어뮤지엄,7382
2009.03,퍼시픽랜드,0
2009.03,아쿠아플라넷,0
2009.03,화락원,0
2009.04,(주)제주미니미니랜드,759
2009.04,국립제주박물관,420
2009.04,도립미술관,0
2009.04,만장굴관광지,4674
2009.04,목석원,3323
2009.04,민속자연사박물관,10303
2009.04,비자림,4
2009.04,산굼부리,2717
2009.04,삼성혈,8422
2009.04,삼양선사유적지,4
2009.04,생각하는 정원,2370
2009.04,절물자연휴양림,135
2009.04,제주도립 김창열미술관,0
2009.04,제주돌문화공원,106
2009.04,제주러브랜드,13002
2009.04,제주목관아지,666
2009.04,제주별빛누리공원,0
2009.04,제주항일기념관,40
2009.04,한라산국립공원,0
2009.04,한림공원,2759
2009.04,항몽 유적지,33
2009.04,해녀 박물관,2106
2009.04,감귤박물관,147
2009.04,기당미술관,0
2009.04,마라해양도립공원,0
2009.04,박물관은살아있다,0
2009.04,산방산,3333
2009.04,서귀포도립해양공원,0
2009.04,서귀포자연휴양림,0
2009.04,서복전시관,0
2009.04,성산일출봉,30235
2009.04,소리섬박물관,0
2009.04,소인국테마파크,0
2009.04,신영영화박물관,0
2009.04,아프리카박물관,0
2009.04,여미지식물원,0
2009.04,이중섭미술관,78
2009.04,익스트림 아일랜드,0
2009.04,일출랜드,1199
2009.04,정방폭포,8925
2009.04,제주민속촌박물관,5744
2009.04,제주조각공원,60
2009.04,제주추사관,0
2009.04,중문주상절리대,9555
2009.04,천제연폭포,15189
2009.04,천지연폭포,20421
2009.04,카멜리아힐,0
2009.04,테디베어뮤지엄,15421
2009.04,퍼시픽랜드,0
2009.04,아쿠아플라넷,0
2009.04,화락원,0
2009.05,(주)제주미니미니랜드,895
2009.05,국립제주박물관,673
2009.05,도립미술관,0
2009.05,만장굴관광지,10664
2009.05,목석원,1631
2009.05,민속자연사박물관,9086
2009.05,비자림,56
2009.05,산굼부리,2708
2009.05,삼성혈,8227
2009.05,삼양선사유적지,6
2009.05,생각하는 정원,1483
2009.05,절물자연휴양림,213
2009.05,제주도립 김창열미술관,0
