"base_year_month","biz_name","sex","age_range","user_count"
"201901","간이주점","남성","20대 이하","21039"
"201901","간이주점","남성","30대","46207"
"201901","간이주점","남성","40대","52693"
"201901","간이주점","남성","50대","31785"
"201901","간이주점","남성","60대","8209"
"201901","간이주점","남성","70대 이상","973"
"201901","간이주점","여성","20대 이하","22165"
"201901","간이주점","여성","30대","23317"
"201901","간이주점","여성","40대","25006"
"201901","간이주점","여성","50대","17697"
"201901","간이주점","여성","60대","3763"
"201901","간이주점","여성","70대 이상","677"
"201901","고기요리","남성","20대 이하","20716"
"201901","고기요리","남성","30대","67835"
"201901","고기요리","남성","40대","93932"
"201901","고기요리","남성","50대","66835"
"201901","고기요리","남성","60대","21182"
"201901","고기요리","남성","70대 이상","4798"
"201901","고기요리","여성","20대 이하","22806"
"201901","고기요리","여성","30대","43580"
"201901","고기요리","여성","40대","57971"
"201901","고기요리","여성","50대","41558"
"201901","고기요리","여성","60대","12861"
"201901","고기요리","여성","70대 이상","2647"
"201901","닭/오리요리","남성","20대 이하","27070"
"201901","닭/오리요리","남성","30대","83702"
"201901","닭/오리요리","남성","40대","100517"
"201901","닭/오리요리","남성","50대","53335"
"201901","닭/오리요리","남성","60대","11142"
"201901","닭/오리요리","남성","70대 이상","1800"
"201901","닭/오리요리","여성","20대 이하","28398"
"201901","닭/오리요리","여성","30대","56411"
"201901","닭/오리요리","여성","40대","83640"
"201901","닭/오리요리","여성","50대","44680"
"201901","닭/오리요리","여성","60대","9602"
"201901","닭/오리요리","여성","70대 이상","1560"
"201901","별식/퓨전요리","남성","20대 이하","3102"
"201901","별식/퓨전요리","남성","30대","16309"
"201901","별식/퓨전요리","남성","40대","26541"
"201901","별식/퓨전요리","남성","50대","16830"
"201901","별식/퓨전요리","남성","60대","5381"
"201901","별식/퓨전요리","남성","70대 이상","1401"
"201901","별식/퓨전요리","여성","20대 이하","4864"
"201901","별식/퓨전요리","여성","30대","13008"
"201901","별식/퓨전요리","여성","40대","19234"
"201901","별식/퓨전요리","여성","50대","12322"
"201901","별식/퓨전요리","여성","60대","4266"
"201901","별식/퓨전요리","여성","70대 이상","1015"
"201901","부페","남성","20대 이하","614"
"201901","부페","남성","30대","3654"
"201901","부페","남성","40대","5510"
"201901","부페","남성","50대","3711"
"201901","부페","남성","60대","1860"
"201901","부페","남성","70대 이상","712"
"201901","부페","여성","20대 이하","908"
"201901","부페","여성","30대","2270"
"201901","부페","여성","40대","3711"
"201901","부페","여성","50대","2429"
"201901","부페","여성","60대","1078"
"201901","부페","여성","70대 이상","121"
"201901","분식","남성","20대 이하","33157"
"201901","분식","남성","30대","111140"
"201901","분식","남성","40대","130110"
"201901","분식","남성","50대","69414"
"201901","분식","남성","60대","19918"
"201901","분식","남성","70대 이상","3975"
"201901","분식","여성","20대 이하","53494"
"201901","분식","여성","30대","100186"
"201901","분식","여성","40대","123022"
"201901","분식","여성","50대","71290"
"201901","분식","여성","60대","16007"
"201901","분식","여성","70대 이상","2601"
"201901","양식","남성","20대 이하","12990"
"201901","양식","남성","30대","39693"
"201901","양식","남성","40대","45024"
"201901","양식","남성","50대","22543"
"201901","양식","남성","60대","6365"
"201901","양식","남성","70대 이상","1154"
"201901","양식","여성","20대 이하","20297"
"201901","양식","여성","30대","40774"
"201901","양식","여성","40대","49419"
"201901","양식","여성","50대","24368"
"201901","양식","여성","60대","5268"
"201901","양식","여성","70대 이상","1046"
"201901","유흥주점","남성","20대 이하","7672"
"201901","유흥주점","남성","30대","21016"
"201901","유흥주점","남성","40대","34971"
